CalendarDate,Link,Day,Week,Year,Team,Opp,Site,Q1,Q2,Q3,Q4,Final,Line,Total,SUm,ATSm,OUm,DPS,DPA,SUr,ATSr,OUr,ot
"Feb 04, 2018",view,Sunday,22,2017,Patriots,Eagles,neutral,3-9,9-13,14-7,7-12,33-41,-4.0,49.0,-8,-12,25,6.5,18.5,L,L,O,0
"Feb 04, 2018",view,Sunday,22,2017,Eagles,Patriots,neutral,9-3,13-9,7-14,12-7,41-33,4.0,49.0,8,12,25,18.5,6.5,W,W,O,0
"Jan 21, 2018",view,Sunday,20,2017,Patriots,Jaguars,home,3-0,7-14,0-3,14-3,24-20,-7.5,45.5,4,-3.5,-1.5,-2.5,1.0,W,L,U,0
"Jan 21, 2018",view,Sunday,20,2017,Jaguars,Patriots,away,0-3,14-7,3-0,3-14,20-24,7.5,45.5,-4,3.5,-1.5,1.0,-2.5,L,W,U,0
"Jan 21, 2018",view,Sunday,20,2017,Eagles,Vikings,home,7-7,17-0,7-0,7-0,38-7,3.0,39.0,31,34.0,6,20.0,-14.0,W,W,O,0
"Jan 21, 2018",view,Sunday,20,2017,Vikings,Eagles,away,7-7,0-17,0-7,0-7,7-38,-3.0,39.0,-31,-34.0,6,-14.0,20.0,L,L,O,0
"Jan 14, 2018",view,Sunday,19,2017,Vikings,Saints,home,10-0,7-0,0-7,12-17,29-24,-5.0,47.0,5,0.0,6,3.0,3.0,W,P,O,0
"Jan 14, 2018",view,Sunday,19,2017,Saints,Vikings,away,0-10,0-7,7-0,17-12,24-29,5.0,47.0,-5,0.0,6,3.0,3.0,L,P,O,0
"Jan 14, 2018",view,Sunday,19,2017,Steelers,Jaguars,home,0-14,14-14,7-0,21-17,42-45,-7.0,41.0,-3,-10.0,46.0,18.0,28.0,L,L,O,0
"Jan 14, 2018",view,Sunday,19,2017,Jaguars,Steelers,away,14-0,14-14,0-7,17-21,45-42,7.0,41.0,3,10.0,46.0,28.0,18.0,W,W,O,0
"Jan 13, 2018",view,Saturday,19,2017,Eagles,Falcons,home,0-3,9-7,3-0,3-0,15-10,2.5,40.5,5,7.5,-15.5,-4.0,-11.5,W,W,U,0
"Jan 13, 2018",view,Saturday,19,2017,Falcons,Eagles,away,3-0,7-9,0-3,0-3,10-15,-2.5,40.5,-5,-7.5,-15.5,-11.5,-4.0,L,L,U,0
"Jan 13, 2018",view,Saturday,19,2017,Patriots,Titans,home,0-7,21-0,7-0,7-7,35-14,-13.5,48.0,21,7.5,1.0,4.2,-3.2,W,W,O,0
"Jan 13, 2018",view,Saturday,19,2017,Titans,Patriots,away,7-0,0-21,0-7,7-7,14-35,13.5,48.0,-21,-7.5,1.0,-3.2,4.2,L,L,O,0
"Jan 07, 2018",view,Sunday,18,2017,Jaguars,Bills,home,0-0,3-3,7-0,0-0,10-3,-8.5,39.5,7,-1.5,-26.5,-14.0,-12.5,W,L,U,0
"Jan 07, 2018",view,Sunday,18,2017,Bills,Jaguars,away,0-0,3-3,0-7,0-0,3-10,8.5,39.5,-7,1.5,-26.5,-12.5,-14.0,L,W,U,0
"Jan 07, 2018",view,Sunday,18,2017,Saints,Panthers,home,7-0,14-9,3-3,7-14,31-26,-6.5,47.5,5,-1.5,9.5,4.0,5.5,W,L,O,0
